RR Monitoring Started at Mon Aug  4 11:42:48 PM IST 2025
================================================
Timestamp,Domain,Run,TW6,TW7,TW8,TW9,TW10,TW11,TW12,TW13,TW19,TW20,TW21,TW22,TW23,TW24,RR_RTT_ms,Status
2025-08-04 23:48:43,youtube.com,74,1754331516.253770,1754331516.253973,1754331516.261065,1754331516.261333,,1754331516.261882,,,,,,1754331516.261915,1754331516.266100,1754331516.266110,12.43,SUCCESS
2025-08-04 23:48:44,youtube.com,75,1754331519.477156,1754331519.477378,1754331519.483324,1754331519.483567,,1754331519.484101,,,,,,1754331519.484151,1754331519.489738,1754331519.489744,12.68,SUCCESS
2025-08-04 23:48:52,youtube.com,76,1754331522.697543,1754331522.697982,1754331522.703652,1754331522.703903,,1754331522.704476,,,,,,1754331522.704515,1754331522.708840,1754331522.708855,11.41,SUCCESS
2025-08-04 23:48:53,youtube.com,77,1754331525.916361,1754331525.916702,1754331525.924196,1754331525.924454,,1754331525.925068,,,,,,1754331525.925111,1754331525.928525,1754331525.928537,12.28,SUCCESS
2025-08-04 23:48:53,youtube.com,78,1754331529.140445,1754331529.140751,1754331529.147897,1754331529.148138,,1754331529.148792,,,,,,1754331529.148851,1754331529.153878,1754331529.153886,13.55,SUCCESS
2025-08-04 23:49:02,youtube.com,79,1754331532.345582,1754331532.345859,1754331532.353545,1754331532.353806,,1754331532.354402,,,,,,1754331532.354460,1754331532.357233,1754331532.357246,11.74,SUCCESS
2025-08-04 23:49:02,youtube.com,80,1754331535.551812,1754331535.552069,1754331535.560884,1754331535.561156,,1754331535.561805,,,,,,1754331535.561857,1754331535.564191,1754331535.564198,12.47,SUCCESS
2025-08-04 23:49:03,youtube.com,81,1754331538.762438,1754331538.762712,1754331538.771211,1754331538.771476,,1754331538.772083,,,,,,1754331538.772139,1754331538.774528,1754331538.774544,12.21,SUCCESS
2025-08-04 23:49:12,youtube.com,82,1754331541.978816,1754331541.979305,1754331541.983638,1754331541.983896,,1754331541.984451,,,,,,1754331541.984484,1754331541.986746,1754331541.986750,8.03,SUCCESS
2025-08-04 23:49:12,youtube.com,83,1754331545.197627,1754331545.197858,1754331545.205777,1754331545.206033,,1754331545.206707,,,,,,1754331545.206765,1754331545.210034,1754331545.210049,12.52,SUCCESS
2025-08-04 23:49:13,youtube.com,84,1754331548.419820,1754331548.420043,1754331548.428566,1754331548.428808,,1754331548.429213,,,,,,1754331548.429238,1754331548.433434,1754331548.433441,13.70,SUCCESS
2025-08-04 23:49:21,youtube.com,85,1754331551.644182,1754331551.644588,1754331551.648767,1754331551.648983,,1754331551.649509,,,,,,1754331551.649544,1754331551.652558,1754331551.652573,8.46,SUCCESS
2025-08-04 23:49:22,youtube.com,86,1754331554.855905,1754331554.856145,1754331554.861690,1754331554.861930,,1754331554.862533,,,,,,1754331554.862579,1754331554.865538,1754331554.865551,9.76,SUCCESS
2025-08-04 23:49:22,youtube.com,87,1754331558.075947,1754331558.076173,1754331558.083540,1754331558.083780,,1754331558.084323,,,,,,1754331558.084359,1754331558.088613,1754331558.088620,12.76,SUCCESS
2025-08-04 23:49:31,youtube.com,88,1754331561.285248,1754331561.285645,1754331561.295032,1754331561.295307,,1754331561.295779,,,,,,1754331561.295820,1754331561.298236,1754331561.298243,13.09,SUCCESS
2025-08-04 23:49:31,youtube.com,89,1754331564.499279,1754331564.499589,1754331564.508013,1754331564.508272,,1754331564.508832,,,,,,1754331564.508888,1754331564.511899,1754331564.511917,12.75,SUCCESS
2025-08-04 23:49:32,youtube.com,90,1754331567.727092,1754331567.727350,1754331567.731979,1754331567.732242,,1754331567.732749,,,,,,1754331567.732788,1754331567.735337,1754331567.735346,8.36,SUCCESS
2025-08-04 23:49:41,youtube.com,91,1754331570.941123,1754331570.941592,1754331570.950145,1754331570.950418,,1754331570.950840,,,,,,1754331570.950866,1754331570.953864,1754331570.953880,12.83,SUCCESS
2025-08-04 23:49:41,youtube.com,92,1754331574.171415,1754331574.171725,1754331574.181075,1754331574.181351,,1754331574.181955,,,,,,1754331574.182003,1754331574.184408,1754331574.184414,13.09,SUCCESS
